id,Sentence,Sentiment,Cleaned_Sentence,Sentiment_Label
755,Odell has not contacted the State of Finland in this issue .,neutral,odell has not contacted the state of in this issue,2
2627,"Red Daily Triangle on $SHOR,...Scaling Up on Long Position http://stks.co/r82S",positive,red daily triangle on shorscaling up on position httpstkscor82s,1
960,Earnings per share ( EPS ) dropped to EUR 0.21 from EUR 0.31 .,negative,earnings per eps dropped to 021 from 031,0
1364,"Country : , Finland Sector : Construction-Real Estate Target : Pohjolan Design-Talo Oy Buyer : CapMan Oyj Vendor : Ruukki Group Oyj Deal size in USD : 102.6 m Type : Divestment Status : Agreed",neutral,country sector constructionreal estate target pohjolan designtalo oy buyer capman vendor ruukki size in usd 1026 type divestment status agreed,2
2911,The financial details of the transaction were not disclosed .,neutral,the details of the transaction were not disclosed,2
2673,Ahlstrom 's share is quoted on the NASDAQ OMX Helsinki .,neutral,ahlstrom is quoted on the nasdaq,2
1723,ALERT: New MACD signal created on $CTXS - Buy at 77.09 - Time: 18:23 - Strength: 10. Powered by https://t.co/4TdgjEDLLZ,positive,alert macd signal created on ctxs at 7709 time 1823 strength powered by httpstco4tdgjedllz,1
225,"According to Ringman , Finnish paper companies have acquired know-how and capacity in paper recycling , which has turned out to be a successful strategy .",positive,to ringman paper have acquired knowhow and capacity in paper recycling which has turned out to be a successful strategy,1
3251,The duration of the lay-offs per employee will vary from one to six weeks .,neutral,the duration of the layoffs per employee will vary from one to six weeks,2
466,Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,negative,analyst views astrazeneca have seen recent volatility what will 2015,0
3522,"The company expects its net sales for the whole of 2007 to be EUR 950mn-1 ,000 mn .",neutral,the its for the whole of to be 950mn1 000,2
3192,Auto Trader share price surges as company floats on LSE,positive,auto trader surges as floats on lse,1
5533,Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 .,negative,diluted earnings per eps stood at 025 versus 042,0
808,"@sharkbiotech If anyone is selling/shorting $AGN b/c you believe $ENDP rumors to be realistic, then I'll take the other side of that trade",positive,sharkbiotech if anyone is sellingshorting agn bc you believe endp rumors to be realistic then ill take the other side of that trade,1
4979,"In the Baltic states the company reports net sales of EUR 11.9 mn , down from EUR 14.2 mn , and an operative EBIT of EUR -2.2 mn , down from EUR -1.7 mn .",neutral,in the baltic states the of 119 down from 142 and an operative ebit of 22 down from 17,2
534,"The official opening of the office , located in Prague , will be celebrated on May 20 .",neutral,the official opening of the office located in prague will be celebrated on may 20,2
5360,"Indigo and Somoncom serve 377,000 subscribers and had a market share of approximately 27 % as of May 2007 .",neutral,indigo and somoncom serve 377000 subscribers and had a of approximately 27 as of may,2
349,The exercise price of the option will be based on Safran Software Solutions ' license and maintenance sales as well as the result of the company .,neutral,the exercise of the option will be based on safran software license and maintenance as well as the of the,2
4657,looks like a big feb 18-22 $put spread on $cree.  Last quarter 0% YoY rev growth trading @ 24x earnings.  I may try a short.,negative,looks like a big feb 1822 put spread on cree last 0 yoy rev growth trading 24x earnings i may try a short,0
2078,"Uncertainties still exist , however .",neutral,uncertainties still exist however,2
5420,$TSLA weakest in todays DT watchlist,negative,tsla weakest in todays dt watchlist,0
1280,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",positive,to the updated strategy for the 20092012 basware targets a longterm growth in the range of 20 40 with an margin of 20 of,1
1207,"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",negative,it provider affecto afe1v its slipped to a of 115000 usd 152000 in the of from a of 845000 in the a,0
167,"Jussi Pesonen , member of the Sampo Board since 2006 , will renounce his seat in Sampo Board .",neutral,jussi pesonen member of the sampo since will renounce his seat in sampo,2
896,Finnlines estimated in its annual general meeting that 2008 will be financially a tough year due to large investments .,negative,finnlines in its annual general meeting that will be financially a tough due to large,0
1299,"$TSLA recalls 2,700 Model X cars. Stock dropping hard...",negative,tsla recalls 2700 model x cars dropping hard,0
1679,"So far Norwegian Norske Skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while Finnish-Swedish Stora Enso is to cut staff by 1,700 people and production by 500,000 tons .",negative,so far norwegian norske skog has reduced the staff levels by 1000 people and to reduce by 200000 tons in while finnishswedish stora enso is to cut staff by 1700 people and by 500000 tons,0
1598,"`` This contract demonstrates our ability to apply our minerals and metals technologies in adjacent industries , such as oil shale processing .",positive,this demonstrates our ability to apply our minerals and metals in adjacent such as oil shale processing,1
2387,In 2008 Stockmann earned 3.398 million lats in profit on 48.012 million lats in turnover .,neutral,in stockmann earned 3398 lats in on 48012 lats in turnover,2
4219,"$FB trending nicely, intraday.",positive,fb trending nicely intraday,1
5802,"At this growth rate , paying off the national debt will be extremely painful .",negative,at this growth rate paying off the national debt will be extremely painful,0
2257,GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,positive,glaxosmithkline set to complete 20 novartis asset swap next week,1
4801,EuroChem CFO Andrey Ilyin said : `` This facility marks another important step for EuroChem in securing the long-term financing necessary for our potash and other strategic projects '' .,positive,eurochem cfo andrey ilyin this facility marks another important step for eurochem in securing the longterm financing necessary for our potash and other strategic,1
41,$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative,tsla recalling pretty much every single model x cnnbrk got to short that even at work you jump in money trade,0
783,The four-year contract between the bank and Ski Sport Finland will bring the bank 's advertisements to skiers helmets and caps .,neutral,the fouryear between the and ski sport will bring the advertisements to skiers helmets and caps,2
1393,$SPY http://stks.co/1MiR We're holding above Wednesday and Thursday closes. I'm leaning bullish. Small postions. Waiting.,positive,spy httpstksco1mir were holding above wednesday and thursday closes i leaning bullish small postions waiting,1
3279,CompaniesDiageo stays neutral on India boardroom turmoil,neutral,companiesdiageo stays neutral on india boardroom turmoil,2
3017,Finnish forest machinery manufacturer Ponsse has agreed with Volvo on the start of cooperation in Latin America .,positive,forest machinery manufacturer ponsse has agreed with volvo on the of cooperation in latin america,1
689,Industry Investment is very interested in Glaston 's solar energy projects .,positive,is very interested in glaston solar energy,1
3779,Royal Mail share price edges lower as group raises stamp price,negative,royal mail edges as raises stamp,0
4098,"Earnings per share ( EPS ) in the first half of 2007 amounted to EUR0 .29 , down from EUR0 .40 year ago .",negative,earnings per eps in the first half of amounted to eur0 29 down from eur0 40 ago,0
901,"FBR Capital reiterated ""Outperform"" rating on $BRCM with a price target of $45.00 on Friday.",positive,fbr reiterated outperform rating on brcm with a target of 4500 on friday,1
4749,Cramo Group 's financial targets for 2010-2013 are sales growth higher than 10 percent per year ; return on equity above 15 percent .,positive,cramo targets for 20102013 are growth than per return on equity above 15,1
3381,"$KGC http://stks.co/3Qta Oversold, falling wedge and positive divergence place it on the launch pad; looking for a bounce.",positive,kgc httpstksco3qta oversold wedge and positive divergence place it on the launch pad looking for a bounce,1
5412,$BBRY both 1m/6m trends turn bullish today with a resistance level at $11.31. http://stks.co/j1qt6,positive,bbry both 1m6 trends turn bullish with a resistance level at 1131 httpstkscoj1qt6,1
2861,"The highest growth would be in China , while weakening demand would continue in North America , UPM said .",neutral,the growth would be in china while weakening demand would in north america upm,2
5781,Finnish glass technology company Glaston Oyj Abp net profit decreased to 2.6 mln euro ( $ 3.8 mln ) for the first nine months of 2007 from 7.8 mln euro ( $ 11.4 mln ) for the same period of 2006 .,negative,glass glaston abp to 26 38 for the first nine of from 78 114 for the same of,0
2678,Fiskars will be undertaking community projects throughout the UK and they are also on the lookout for local volunteers who are interested in helping out with the selected restoration projects .,neutral,fiskars will be undertaking community throughout the uk and they are also on the lookout for local volunteers who are interested in helping out with the selected restoration,2
5273,$AMZN Trailing 12 months operating cash flow rose 48% to $4.98 billion & free cash flow decreased 63% to $388 million http://stks.co/c06zG,neutral,amzn trailing 12 cash flow 48 to 498 free cash flow 63 to 388 httpstkscoc06zg,2
5430,"Tesco, Asda sales fall as march of the discounters continues: Kantar",negative,tesco asda as march of the discounters kantar,0
404,"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .",negative,comparable 47 down from 51 in the in representing 74 of,0
5255,"Operating profit totalled EUR 5.8 mn , up from a loss of EUR 1.7 mn in the fourth quarter of 2009 .",positive,58 up from a of 17 in the fourth of,1
4560,Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .,positive,diluted earnings per eps to 105 from 064,1
2021,"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .",negative,in the fourth of to 1214 from 1655 in the fourth of,0
2681,The aim is an annual improvement in Ruukki Construction 's operating profit of more than EUR 3 million USD 4.1 m starting in 2009 .,positive,the aim is an annual improvement in ruukki of more than usd 41 in,1
4672,"Meanwhile , Nokia said that it will be able to deliver a complete range of services from deployment operations to consulting and integration to managed services as a result of the buyout .",positive,meanwhile that it will be able to deliver a complete range of from deployment to consulting and integration to managed as a of the buyout,1
3700,The authorization is in force for a period of 18 months from the resolution by the General Meeting .,neutral,the authorization is in force for a of 18 from the resolution by the general meeting,2
3080,"The company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households .",neutral,the serves in various process and resources industrial machinery architecture building electrical transportation electronics chemical petrochemical energy and information as well as catering and households,2
3848,Sanoma Magazines ' net sales are estimated to grow in 2006 .,positive,sanoma magazines are to grow in,1
1072,"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .",neutral,as part of the reorganisation measures that will take place in spring tamglass finton will personnel negotiations that will affect its entire staff of 33,2
1142,Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier .,negative,in the fourth to eur33 from eur39 a,0
5083,"Operating profit decreased to nearly EUR 1.7 mn , however .",negative,to nearly 17 however,0
2786,X marks the recall: Tesla recalls #ModelX for faulty 3rd row seat. https://t.co/HSqdoVry07 $TSLA https://t.co/4Cs3CNZEBB,negative,x marks the recall tesla recalls modelx for faulty 3rd row seat httpstcohsqdovry07 tsla httpstco4cs3cnzebb,0
3890,Metso estimates the need for personnel reductions to amount to 25 people .,negative,metso the need for personnel reductions to amount to 25 people,0
2604,Finland 's Poyry Energy has won a contract to advise builders of a new cogeneration power plant in Lithuania 's second-biggest city of Kaunas and to supervise the construction process .,positive,poyry energy has won a to advise builders of a cogeneration power in lithuania secondbiggest city of kaunas and to supervise the process,1
2277,The company said that its comparable operating profit for the January-June period fell short of last year 's corresponding performance .,neutral,the that its comparable for the januaryjune short of last performance,2
5838,RISING costs have forced packaging producer Huhtamaki to axe 90 jobs at its Hampshire manufacturing plant .,negative,costs have forced packaging producer huhtamaki to axe 90 jobs at its hampshire manufacturing,0
3845,"In September alone , the market declined by 10.2 percent year-on-year to 19.28 million liters .",neutral,in september alone the declined by 102 yearonyear to 1928 liters,2
2957,"Qualcomm estimated a first-quarter profit between 46 and 50 cents a share , excluding certain items , below the analyst estimate of 61 cents a share .",negative,qualcomm a firstquarter between 46 and 50 cents a excluding certain items below the analyst of 61 cents a,0
3510,"Samsung currently occupies third place and lost ground during the quarter , dropping by 1.8 % to an 11.1 % share overall .",negative,samsung currently occupies third place and lost ground during the dropping by 18 to an 111 overall,0
2092,Intertek swings to Â£347 mln loss on oil's slump,negative,intertek swings to 347 on oils slump,0
1663,Its 168 asset management experts manage assets worth over EUR 35 billion .,neutral,its 168 asset management experts manage assets worth over 35,2
2775,Aviva shuts Friends Life head office in rapid integration move,neutral,aviva shuts friends life head office in rapid integration move,2
380,Sanoma News ' advertising sales decreased by 22 % during the year .,negative,sanoma news advertising by 22 during the,0
4721,Ocwen Reaches Settlement With California Regulator,positive,ocwen reaches settlement with california regulator,1
1912,"A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007 , slightly down from 16.5 mn in 2006 .",negative,a of 165 passenger ship journeys took place in the northern baltic sea in slightly down from 165 in,0
456,"Britain's FTSE falls back with Ashtead, commodities under pressure",negative,britains ftse back with ashtead commodities under pressure,0
716,"The poorest index figure was given to Finnish power company Fortum , 4.5 .",negative,the poorest index figure was given to power fortum 45,0
5088,Terms of the acquisition were not disclosed .,neutral,terms of the acquisition were not disclosed,2
2421,"Previously , the plant was expected to be completed by the end of 2008 .",neutral,previously the was to be completed by the of,2
2995,$AAPL Beat the estimates. Will still go down on lack of new products. https://t.co/sX3z7u6N8o,negative,aapl beat the will still go down on lack of httpstcosx3z7u6n8o,0
2498,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .",positive,aspo exchange release february 11 2011 at8 45 am esl shipping ltd part of aspo has signed a longterm with rautaruukki for the marine transport of raw materials on the baltic sea,1
780,"$ENDP exit reversal .11 X 3K shares = $330 - now Long - not getting follow through, either side of price action",positive,endp exit reversal 11 x 3k 330 now not getting follow through either side of action,1
3772,"( ADP News ) - Feb 11 , 2009 - Finnish management software solutions provider Ixonos Oyj ( HEL : XNS1V ) said today its net profit rose to EUR 3.5 million ( USD 4.5 m ) for 2008 from EUR 3.1 million for 2007 .",positive,adp news feb 11 management software provider ixonos xns1v its to 35 usd 45 for from 31 for,1
4351,A meeting of Glisten shareholders to vote on the bid will be held on 12 March .,neutral,a meeting of glisten shareholders to vote on the bid will be held on 12 march,2
115,"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",negative,upmkymmene corp the world largest maker of magazine paper on tuesday a 19percent drop as paper costs and a strong hurt revenue,0
3647,Shell share price: Standard Life announce position against BG acquisition,negative,shell standard life announce position against bg acquisition,0
392,"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project .",neutral,yit lodged counter claims against neste oil some eur25 primarily based on work carried out under the and additional costs incurred due to prolongation of the,2
969,"Neste oil 's board proposed 1.00 eur dividend for the full-year 2007 , compared with 0.90 eur a year ago .",positive,neste oil proposed 100 dividend for the fullyear with 090 a ago,1
2072,Some of the lay-offs will be implemented using part-time employment contracts .,neutral,some of the layoffs will be implemented using parttime employment,2
2308,"The Group , with net sales of EUR 235 million in 2009 , employs more than 2 000 people in 33 countries .",neutral,the with of 235 in employs more than 2 000 people in 33 countries,2
3788,"However , this increases signaling traffic which wastes network resources and allows fewer smartphones to connect .",negative,however this signaling traffic which wastes network resources and allows fewer smartphones to connect,0
913,"Finland 's Nokian Tyres and Kazakhstan 's Ordabasy Corporation signed an agreement to build a plant in Astana to produce car tires , Ordabasy chairman Dinmukhamet Idrisov said at a press conference .",positive,nokian tyres and kazakhstan ordabasy signed an to build a in astana to produce car tires ordabasy chairman dinmukhamet idrisov at a press conference,1
317,"ADP News - Feb 13 , 2009 - Finnish retailer Kesko Oyj HEL : KESBV said today its total sales , excluding value added tax VAT , stood at EUR 661.3 million USD 853.1 m in January 2009 , down 15.2 % year-on-yea",negative,adp news feb 13 retailer kesko kesbv its excluding added tax vat stood at 6613 usd 8531 in january down 152 yearonyea,0
3072,"However , net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 .",positive,however in are seen to have grown to eur598 from eur582 in,1
5498,"Today , we are connecting people in new and different ways - fusing advanced mobile technology with personalized services to enable people to stay close to what matters to them .",neutral,we are connecting people in and different ways fusing advanced with personalized to enable people to stay close to what matters to them,2
4267,"Tesco set to sell Kipa, Giraffe businesses - Sky News",negative,tesco set to kipa giraffe sky news,0
2626,"Erkki Jarvinen , President of Rautakirja and the head of the Sanoma Trade division , will leave his current tasks in spring 2009 for a similar position outside the Sanoma Group .",neutral,erkki jarvinen president of rautakirja and the head of the sanoma trade division will leave his current tasks in spring for a similar position outside the sanoma,2
5442,Operating loss increased to EUR 17mn from a loss of EUR 10.8 mn in 2005 .,negative,to 17mn from a of 108 in,0
5244,"According to M-real 's CEO , Mikko Helander , this transaction will enable the company to proceed swiftly with its restructuring program .",positive,to mreal mikko helander this transaction will enable the to proceed swiftly with its restructuring program,1
236,The move was triggered by weak demand for forestry equipment and the uncertain market situation .,negative,the move was triggered by weak demand for forestry equipment and the uncertain situation,0
5694,`` This could be us .,neutral,this could be us,2
270,Slump in Weir leads FTSE down from record high,negative,slump in weir leads ftse down from record,0
259,"The employer , together with health personnel , supports quitting and pays part of the cost of nicotine treatments .",neutral,the employer together with health personnel supports quitting and pays part of the cost of nicotine treatments,2
4558,The plan is estimated to generate some EUR 5 million ( USD 6.5 m ) in cost savings on an annual basis .,positive,the is to generate some usd 65 in cost savings on an annual basis,1
924,"Despite sales growth, UK's Tesco cautions recovery to be bumpy",neutral,despite growth uks tesco cautions recovery to be bumpy,2
873,"Operating profit totaled EUR 3.8 mn , down from EUR 4.5 mn in the corresponding period in 2005 .",negative,38 down from 45 in the in,0
1097,Merkel's Government Said to Support Deutsche Boerse-LSE Merger,positive,merkels government to support deutsche boerselse merger,1
804,The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws .,neutral,the is also examining the benefits of transferring the swedish to as a branch office so that the would be governed by laws,2
1282,"Dubai Nokia has announced the launch of `` Comes with Music '' , its ground-breaking service which introduces a new way for people to enjoy music .",positive,dubai has announced the launch of comes with music its groundbreaking which introduces a way for people to enjoy music,1
5149,"ADPnews - Aug 3 , 2009 - Finnish media group Ilkka-Yhtyma Oyj HEL : ILK2S said today its net profit fell 45 % on the year to EUR 5.9 million USD 8.4 m in the first half of 2009 .",negative,adpnews aug media ilkkayhtyma ilk2s its 45 on the to 59 usd 84 in the first half of,0
33,`` We are pleased to welcome Tapeks Noma into Cramo group .,positive,we are pleased to welcome tapeks noma into cramo,1
4950,$CRK time to accumulate for a long position with far more upside than downside,positive,crk time to accumulate for a position with far more upside than downside,1
338,"Westpac Banking Corp - Is to issue a benchmark , 3 year FRN deal in Euros .",neutral,westpac banking corp is to issue a benchmark frn in euros,2
3661,Renesas Mobile Europe Ltd has approximately 470 employees in Oulu .,neutral,renesas europe ltd has approximately 470 employees in oulu,2
3256,"`` Over the years , the color orange has become synonymous with quality .",neutral,over the the color orange has become synonymous with quality,2
483,BHP Billiton share price: Brazil to sue Samarco for Â£3.5bn,negative,bhp billiton brazil to sue samarco for 35bn,0
3052,"The company is in charge of all natural gas storage activities in France , Great Britain , and Germany .",neutral,the is in charge of all natural gas storage activities in france great britain and germany,2
1887,The SeaWind that was en route from the Finnish port of Turku to Stockholm got stuck in ice already around 4 p.m. on Wednesday and the Regal Star 's journey from the Swedish port of Kapellskar to Paldiski in northwestern Estonia was cut short at 2 a.m. on Thursday .,negative,the seawind that was en route from the port of turku to stockholm got stuck in ice already around 4 pm on wednesday and the regal star journey from the swedish port of kapellskar to paldiski in northwestern estonia was cut short at 2 am on thursday,0
4388,Starbucks shares down as much as ~4.2% $SBUX https://t.co/JlgrprR54k,negative,starbucks down as much as 42 sbux httpstcojlgrprr54k,0
5145,$MPWR CEO sells 450k april 15th..meh,negative,mpwr 450k april 15thmeh,0
5439,55 workers in +àm+Ñl will be affected by the close-down .,neutral,55 workers in ml will be affected by the closedown,2
1899,"However , the growth margin slowed down due to the financial crisis .",negative,however the growth margin slowed down due to the crisis,0
5160,"$P bull flag on the daily, earnings on the table tomorrow +/-12 move.Will straddle this one into earnings..lots of vol guaranteed here",positive,p bull flag on the daily earnings on the table tomorrow 12 movewill straddle this one into earningslots of vol guaranteed here,1
5536,Johnson Matthey raises prospect of investor payout,positive,johnson matthey raises prospect of investor payout,1
4153,"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge",negative,update 1nomura rbs must pay 806 in mortgage bond caseus judge,0
2363,"Operating profit totalled EUR 9.6 mn , down from EUR 42.0 mn the year before .",neutral,96 down from 420 the before,2
3577,"In accordance with our strategy , we strengthened our local presence by establishing a representative office in South Africa in October .",positive,in accordance with our strategy we strengthened our local presence by establishing a representative office in south africa in october,1
2608,` Nordic infrastructure construction is one of our strategic growth areas .,neutral,nordic infrastructure is one of our strategic growth,2
